T,AuPRC,FPR95,Best
0.5,0.5512,0.4436,
0.75,0.6922,0.4276,
1.0,0.7512,0.4205,
1.25,0.7722,0.3849,
1.5,0.7726,0.3480,✅
1.75,0.7452,0.3264,
2.0,0.7171,0.3182,
2.25,0.6984,0.3165,
2.5,0.6907,0.3178,
